callsign,latitude,longitude
CSN660,47.13213,130.69604
FDX14,35.06494,-89.98022
JAL772,35.76948,140.39444
AEA075,-1.77324,-72.42661
AEA024,34.12610,-10.61885
CFG059,56.30283,-11.38600
RYR8BY,51.16393,-0.07609
AFR065,52.45776,-1.59529
IBS3932,40.49463,-3.58752
THY60,5.94031,99.72355
PAL721,34.20612,113.87929
UAE440,-26.08447,116.56316
AEA025,-10.52124,-54.59798
THY52,37.10513,124.23112
ETD76T,24.43802,54.64733
AUA82,57.02742,5.53677
ACA093,36.49411,-78.07411
AAL786,49.00570,2.56162
AFR459,43.10454,-2.08740
AEA057,-19.21111,-44.18530
THY26,31.64817,118.40658
THY72,22.96427,113.08233
T7SKA,53.55621,-3.47410
UAE231,59.07813,-38.97146
N866AB,47.24317,-9.81128
THY70,23.43682,110.91680
UAE356,-3.09485,105.96425
DLH457,54.22223,-0.71532
QTR890,31.68769,117.83688
CPA110,22.31297,113.93305
FDX108,35.06163,-89.98149
IBE6827,-17.98073,-42.76987
UAE414,-24.80090,113.50449
LPE2485,0.34014,-64.22842
GES031,40.07423,-3.63324
BAW282,56.24391,-9.70750
THY68,13.67822,100.75559
DLH481,49.39330,9.80678
VIR8E,56.13332,-7.58931
RKS32,40.30577,144.85886
EDW15J,47.99648,6.11468
MSR958,23.26308,113.25285
AAL187,59.17740,147.93237
HAL451,-28.92006,157.33527
FDX855,35.06224,-89.98365
FDX601,35.06449,-89.98334
PAPA3,40.50928,-3.57880
N152QS,45.88293,-104.08302
JBU464,40.64541,-73.77188
UAE318,35.92735,140.65842
TSC692,37.93155,23.94596
VIR44B,51.55069,-1.06337
FDX619,35.06553,-89.97462
THY800,26.66069,-48.34509
FOLOWME2,19.09475,72.86700
TAP087,-20.33272,-46.52435
ANA109,63.28170,164.02463
UAE408,-22.07152,109.47588
CPA823,65.22630,94.60344
AAL215,-10.00845,-59.10223
SWR197,51.71008,19.48819
JBU1124,40.64556,-73.77431
FDX583,35.06108,-89.97451
KV3,52.31775,4.74106
THY38R,-25.71350,28.76770
QTR740,67.72373,-53.36740
UAL972,50.99583,3.45757
BAW166,45.69959,19.71675
NAX7088,64.94759,4.80572
SIA298,-3.02446,112.28123
KLM792,44.18481,-6.46392
TJS29,46.10669,5.91863
TCX2735,53.39635,-4.06518
THY84,23.65663,109.42047
UAE221,72.77586,-40.79924
QTR1369,-27.73082,22.95550
AAL742,41.29124,2.08255
UAE219,59.02620,-31.71263
DAL106,51.87563,-0.96008
JAL69,36.71563,155.60889
ACA007,44.16700,123.36083
UAE203,59.30162,-34.75061
LAN533,-22.09760,-74.96339
THY173,41.39174,35.16200
SVA860,14.00446,118.75160
ETD474,-6.13092,106.64796
AAL720,41.79652,12.24111
KAL138,34.52612,129.48457
CSN461,55.59827,31.05114
THY54,11.20779,99.72726
DAL64,41.79810,12.24585
RYR3GB,44.83305,16.22400
KLM214,52.30959,4.77617
KLM749,51.22487,-1.90674
TSC154,50.89289,4.49385
DAL583,57.80123,145.36884
ETD424,13.98201,120.62077
QTR778,44.60294,15.27387
LNE1441,7.20648,-66.99854
N194WM,51.47058,14.03021
DAL2040,40.63956,-73.78076
UAE213,35.98320,-20.28736
IBE6456,35.65236,-15.97009
SAY9858,59.06369,46.50824
AIC160,52.75626,17.29164
CPA3273,33.11403,132.95445
FDX26,50.86795,7.14111
THY56,11.47646,99.58614
DAL110,27.33115,-80.37535
ELY002,37.13287,23.26034
QTR956,-5.29486,106.75825
QTR727,59.83879,-31.13598
QTR1373,-20.80168,20.22408
QTR756,46.83696,15.67481
QTR703,59.77861,-27.23329
QTR900,-18.24223,102.02793
BAW2278,57.91960,-13.59358
QTR870,31.36220,121.07538
TAM8113,-17.88858,-50.64452
BAW190,51.38804,-1.78459
CSN3074,20.88017,114.29267
CAL5321,31.36734,130.08345
AAL996,22.86525,-90.55247
IBE6674,40.49809,-3.56853
BAW92W,51.46643,-0.46872
VIR86Z,56.82050,-5.46375
THY166,20.86032,102.27924
TSC652,49.61151,-4.17562
ETH604,41.64507,104.26052
FDX82,35.06665,-89.98381
ANA115,42.03735,141.92451
TSC408,51.05342,-0.59059
KAL054,37.06613,127.52229
RYR6CE,42.35381,0.44875
SUR8901,45.45464,-73.76215
DAL589,49.92746,133.26825
OAE702,48.65919,19.37967
AIC171,51.52653,-0.03159
LAN507,-33.40193,-70.78533
AZA62J,50.07049,-28.10092
CLX779,51.04642,2.11613
ACA091,38.87091,-76.93391
CBJ462,11.48831,121.66492
AFR099,49.00028,2.58623
DAL414,39.38231,15.21301
KLM771,51.03648,-2.34558
SVA822,-1.08870,105.25954
UAE332,13.89822,119.55930
KAL504,43.64229,116.16201
JAL1,36.82142,156.74323
EDW11,52.72998,-1.75705
QTR930,13.87198,111.38721
JBU1415,37.61369,-122.38935
QTR806,37.68901,128.70081
TCX2719,59.13620,-8.50781
UAE316,37.15585,129.87762
QTR962,-2.42314,108.59299
AAL56,51.45438,-0.09992
UAE216,75.07410,2.23994
AAL984,25.54871,-79.97342
N151QS,42.96890,-2.20442
KLM676,52.31430,4.77531
QTR946,1.12759,103.72637
AAL912,22.29864,-79.09779
KLM751,46.15740,-29.54092
N805TM,23.30247,120.26678
CAR12,-31.94844,115.95972
VLG7822,51.15423,-0.16505
SIA328,38.90059,44.22955
QTR932,14.15881,117.43784
OMA844,23.60579,58.27763
XAX215,2.18005,102.08715
THY2,43.94271,18.86974
DAL146,25.14391,-79.53715
TAP075,-14.69792,-41.76093
AAL2491,25.79788,-80.27470
CFG115,47.88921,-9.57940
QTR730,60.82974,0.54108
BAW8,72.43520,31.75491
AFL107,74.99945,5.85718
QTR1363,-23.55669,29.14103
GTI8086,22.31418,113.91372
AAL907,-32.69925,-65.38436
KLM604,62.50804,-22.20459
AAL263,70.59856,179.09084
AAL78,57.66375,-11.60302
UAE226,79.80976,21.20667
THA476,9.96870,107.81253
DLH483,50.99080,0.00030
PAL210,14.42322,121.49918
DAL444,41.79731,12.23403
EJA538,34.42278,-119.83590
AAL900,25.79297,-80.35751
THT7,-17.55782,-149.61066
AAL962,27.15713,-83.28397
JAL783,35.75951,140.38289
AAL929,-23.47522,-46.65694
ACA844,51.10963,7.20176
AAL997,-21.20586,-73.76640
QTR858,37.88310,122.74884
AAL734,53.35081,-2.28610
AAR795,55.60232,37.81786
DAL39,53.47451,137.19057
FWI543,48.18787,1.38731
VIR78,53.46478,-4.98262
AAL940,19.64790,-89.14012
SWR65,48.54868,0.35547
AAL46,51.59082,-0.47791
PIA782,57.36310,28.93430
DLH493,53.92039,0.06976
ROU1934,53.96210,-3.16697
UAE772,-22.97493,24.44509
FWI585,45.78378,-9.91952
KTK3893,36.89545,30.80055
QFA127,16.99166,116.95570
ETD170,78.68181,-35.19633
BAW36,45.97142,24.05282
KAL529,56.14363,43.02246
AAL423,33.94110,-118.40484
AAL728,51.47157,-0.46332
VIR16B,51.15594,-0.18259
ETD93R,73.62986,-13.81055
AFL103,59.34467,31.48938
RJA180,14.32896,97.29151
CRL925,48.75327,2.86671
CAL5254,60.35646,-156.04005
DAL129,54.91383,139.44833
DAL611,34.88685,137.34587
AFL1711,55.96568,37.40340
BAW2038,51.13202,0.13525
CAL015,37.79904,163.21896
AFR429,45.89960,-32.00859
SIA286,-7.52782,121.25829
EVE802,39.91193,-5.09735
QTR818,21.54185,113.33316
KLM758,47.07402,-18.60370
FDX56,35.06128,-89.96781
SWR9K,48.02417,5.96324
WJA1,51.33586,-0.94831
AZA63C,47.53258,-4.20248
AFR267,56.23613,41.24750
AFR741,47.37881,-1.81577
QTR8102,52.52985,3.93974
UAE387,25.24560,55.37383
DAL74,52.39073,2.67894
IBK9470,42.26294,-4.07562
IBE6841,-18.63086,-43.75210
HVN772,9.00121,109.23042
BAW71F,61.53340,-27.17468
UAE366,22.09108,116.55396
SQB02ERA,31.51507,74.40585
EIN12G,53.41413,-6.13821
QTR708,47.35266,11.89129
TAM8081,-11.82674,-49.98708
NWS306,58.82764,53.64716
WJA3,51.02451,-0.17593
HAL449,34.44264,140.57124
AAL293,33.94111,-118.40646
LAE2841,-21.70486,-58.00227
ANZ2,64.90872,-46.81311
BAW79V,51.10527,-28.39960
TAM8091,-20.89288,-46.77549
QTR880,29.70996,106.52985
EIN146,64.03707,-30.52859
AFR689,49.32321,0.88209
DAL412,44.77272,4.63924
QTR726,58.24812,7.50201
AMX001,44.03102,-30.44549
IBE6844,16.31842,-25.16796
DLH447,57.66956,-8.58661
AAL992,24.40752,-78.15466
UAL148,29.92590,-75.60027
AFR179,47.78704,-33.41489
AFR6731,55.51196,-4.61112
UAL938,57.93520,-21.46717
DAL162,53.15642,0.70902
DAL38,43.86017,154.43549
UAL2,40.01428,151.63673
SAS936,67.91814,-31.97155
QFA81,-0.60327,108.47176
SIA238,0.82407,105.12417
JBU687,33.93566,-118.41042
UAL862,39.27050,149.90778
DLH465,51.04835,0.14938
VIR20V,63.35508,-32.77277
UAE230,75.04669,36.62038
ROU1932,43.60236,7.65108
AAL54,53.39905,-3.53022
DAL472,28.70836,-69.19030
PAL662,22.80942,63.26920
WK0025,50.05253,-20.96949
AVA016,38.22544,-29.07848
JAL791,34.15448,139.62990
AAL963,-5.25192,-56.10445
GTI8766,62.19466,-25.36184
UAE369,25.29169,55.58926
JBU167,37.71132,-122.21646
AFR673,50.71999,-8.63652
UAL48,66.35421,36.38445
AEA088,40.59865,-6.57819
ABW486,56.01096,38.22513
CSN326,10.82917,120.21168
LAN503,-30.45806,-71.36125
DAL136,52.22761,4.57785
CFG065,58.77066,-42.99472
DAL4,50.00386,8.35908
EVA659,36.21508,139.39711
DSM7822,16.79819,-76.35381
AZA605,44.98293,8.36694
NOS430,46.10880,-4.95698
TEST1234,40.69385,-74.16090
AFR153,49.23386,-4.37242
A6EDR,25.25068,55.36158
FWI554,46.50582,-13.04887
HVN780,6.32117,112.87973
JBU1715,37.61137,-122.39024
XAX551,3.11188,103.42217
N797KK,42.28982,141.65561
UAL923,62.59076,-44.90021
UAL860,27.82204,-73.85622
ACA824,52.27258,4.69454
TE888,-37.00776,174.79117
ROU1912,41.29121,2.07312
ABW543,51.67645,-133.21338
CSN382,14.20155,119.72736
AAL950,28.47013,-70.23114
KLM706,26.59380,-18.36824
ELY032,49.46938,-11.18379
KAL035,57.57764,-146.15567
AIC301,6.55598,112.60803
VIR106,58.62017,-13.79702
ETD54K,63.77680,-19.95513
AAL930,24.07430,-77.74983
BAW34N,47.94237,-9.38759
RYR20VP,48.02832,9.46627
AFL1731,61.49217,47.38609
ACA834,46.23419,6.11136
DAL104,24.47122,-74.18218
THY38D,40.97400,28.82166
CPA257,56.29504,73.74873
AFL1743,61.66421,47.85228
TSC100,50.06090,9.02758
HAL2,33.93990,-118.40456
LOT92,56.12187,48.61076
TSC382,47.86948,-7.72628
THY713,41.56403,33.81286
CPA139,-22.22497,141.92093
UPS208,43.08419,-73.25134
YGI,-32.09361,115.88268
AEA012,37.86058,-16.26166
TCX2849,53.44774,-4.47968
LAN621,-29.95610,-73.41404
SIA232,-2.14659,110.81588
CPA830,51.79504,171.12305
AAL214,25.66168,-80.10767
GEC8401,56.78993,60.11848
IBE6346,41.49284,-5.62057
CES562,9.17665,121.72698
FDX5392,48.55355,78.16939
TSC498,49.37338,-4.66306
AAL744,42.48692,-3.18725
CSN344,7.50175,121.77190
THY76M,40.98116,28.81742
AFR125,56.13451,49.40244
PAC241,-13.89938,147.01134
BPA1404,44.01274,-13.44414
DAL30,50.24533,-7.06378
AFR377,49.30650,1.45329
ELY016,44.22217,6.04111
TSC314,45.76876,3.10247
XAX223,-5.72736,112.66661
ANZ281,-34.79675,154.18796
SOO275,23.76572,108.26324
CSN301,-20.19427,140.45576
IBE6170,44.01945,-49.86057
QTR744,48.49466,3.38710
SWR15X,48.27109,4.81208
EZY47LA,50.81795,4.32282
HAL50,45.00581,-99.50801
ACA894,45.71211,4.55006
EVE814,43.13769,-25.12930
UAL54,50.62793,0.30169
CKK213,58.51964,65.50297
KLM812,36.40618,53.61632
AD8705,-16.44309,-50.85782
TSC456,49.02047,2.52335
GIA713,-8.31761,113.95392
DLH495,50.79887,3.94211
DAL422,52.21504,3.55180
HAL445,-23.65645,-177.39345
QFA97,11.34715,119.97890
ICL981,41.44487,-74.75048
KAL073,60.83781,-149.31390
TAP088,23.12369,-19.32049
AAL120,48.99422,2.81116
TCX2865,66.06033,-42.47625
EIN124,54.80707,-13.30336
ACA890,47.72351,-3.79749
AIR4,25.23270,55.39697
PAL212,6.55463,123.94705
DAL60,20.46016,-69.45164
RBA98,10.19885,106.86577
THA492,-11.63871,130.62054
AEA034,41.01471,-15.34860
DAL40,0.57590,-157.98326
AFR027,49.26996,2.22278
QFA29,6.66130,122.20614
TAM8065,-2.39134,-33.37784
ACA838,50.58792,5.24901
AEA064,40.05597,-29.60834
BER7431,63.10455,-51.06913
AAL945,-15.47900,-76.18445
ANA855,-5.88680,106.51757
SIA308,34.07117,58.58263
DAL8878,44.88307,-93.21447
DLH453,62.73683,-54.80275
BOV776,15.57554,-25.62075
AEA098,41.03503,-18.48666
DAL581,34.89854,150.73070
FDX54,35.06284,-89.98159
TSC648,45.75214,3.12815
DAL144,64.07297,-17.30951
GLP118,55.30998,38.20269
TAP070,19.09475,-20.01274
CXA808,7.37036,121.97380
NAX7074,66.00467,-41.34579
JAL789,35.02111,149.83989
FIN58,65.68935,69.81298
KLM868,73.30043,69.81446
TSC182,55.93584,-4.31288
SVA834,8.50614,90.15173
DAL196,21.12808,-70.66521
BAW2256,46.61340,-14.97822
AAL738,38.42038,-9.58390
KAL081,60.62452,-153.79025
JBU1323,33.93991,-118.40417
AIC131,46.69826,22.44862
JST7,-2.60989,111.52193
BAW172,51.46776,-0.47867
AZG074,43.85617,53.62754
DAL474,48.86591,1.71802
BAW22C,51.36369,-0.10370
CPA074,31.01217,-84.03497
DHK966,50.20971,-66.39394
PAL659,13.89445,103.87540
CLU531,36.33984,104.06039
AAL974,18.57532,-66.96921
QTR8971,25.32418,59.21019
FIN42,65.70960,60.33739
CXA804,5.72965,122.73722
MEA576,33.82425,35.48418
THY50D,40.98917,28.81268
THA671,13.95543,101.04434
FIN76,64.35013,80.47211
AFL1880,47.98414,64.70696
CPA162,5.70479,122.75159
AEA052,40.96955,-20.88245
QTR965,18.70159,71.17708
CAL5147,41.59643,146.45062
ISS3220,-0.22516,39.90598
GES041,44.58657,-48.24980
SAS964,55.26521,75.61655
IBK1609,55.94743,-3.36866
IBK1601,55.94688,-3.38050
UAE236,50.53152,-11.31621
AAL108,63.40475,-59.34320
KTK7744,39.02650,66.22350
JAL773,-10.94983,147.03938
VIR142,50.71568,-51.81405
VIR10K,51.31082,-0.93339
MAS89,3.43240,104.39665
MAS141,-31.46153,141.38770
HAL821,34.52744,152.99229
FDX1800,37.71711,-122.21780
BAW94,51.46779,-0.47867
DAL41,29.67411,-125.02727
CES712,4.94641,123.38245
THY80L,70.03816,-47.34242
THA461,-29.59167,131.65903
JAL413,66.57082,76.85686
TAM8070,21.93007,-19.69777
DLH501,20.92125,-20.36639
VOZ35,-9.18278,114.92972
AFR253,31.76533,63.33441
DAL158,63.23386,-155.04155
SIA671,1.35828,103.99246
CSN343,-19.43599,135.16695
LAN502,12.08312,-79.52006
SIA12,35.06957,140.55862
FDX1268,35.06721,-89.97502
UAL844,22.93285,-69.95307
VIR128,53.52893,-2.19525
SVR94,55.25372,38.27144
ROU1930,53.87810,-2.57818
SWR53T,48.47658,4.11818
ARG1160,3.49372,-25.40051
CCA976,40.06549,116.60335
UAL144,45.15991,-104.45126
AFR069,61.83770,-60.46284
DAL409,55.57333,-3.58496
LAN705,2.64064,-34.39326
EIN1PE,59.70556,-78.24681
PW08,25.08495,121.22896
BAW14K,51.30707,-0.47627
JAL45,69.82619,80.32523
MAS388,31.14204,121.80298
UAL170,46.21497,-0.25687
UZB512,41.09143,70.32068
ACA46,60.87003,8.78014
FIN80,69.74753,81.61949
CPA134D,3.14671,124.15217
VIKTOR46,47.45588,8.55803
ACA870,49.23546,2.68320
AFR935,27.81931,29.75761
AZG632,28.19600,61.61312
DLH413,48.84682,0.80517
QFA577,-31.93256,115.96167
SIA32,35.69737,142.49319
GTI534,54.78522,177.01338
SWR189,55.33493,75.17023
FDX5384,32.75995,57.31919
MOV182,57.44918,47.26345
MOV198,59.62867,59.51228
AFR475,45.32198,-37.90234
BAW276,42.01921,33.35277
FIN78,69.72198,81.90795
ACA848,50.55350,-3.86379
TSC400,46.47058,-0.20112
MAS133,-32.97794,138.32397
FDX1224,35.06094,-89.95380
JAL421,65.96466,79.59368
FDX1818,37.71873,-122.21756
EVA316,10.15068,124.07475
EIN1TC,53.42273,-6.26411
AAL0000,32.90989,-97.06076
DAL471,-2.91110,-54.30035
FDX1200,35.06277,-89.98090
CES261,55.45871,74.34963
MAS129,-34.79507,138.24898
UAL8,44.39278,163.53593
TUI174,36.98698,29.00998
KZR930,43.73653,77.43748
AFR275,67.47487,86.26965
OMA822,23.59842,58.15887
TSC284,63.56550,-32.37539
SWR161,68.34399,85.17451
NJE576G,33.28702,114.51775
ACA872,52.01268,-5.02232
KAR1864,56.13976,92.63208
N988ZJ,41.64873,149.76263
ANA817,11.65869,104.96139
BAW18,61.11389,67.98653
DAL44,52.36764,-9.21313
QFA35,-7.09821,113.94430
SQC7123,-14.23978,143.34821
DLH415,52.01683,-15.98740
FDX68,35.06503,-89.98399
AAL908,11.15758,-70.08629
THA641,13.70787,100.76542
KLM686,47.82289,-51.16388
AEA092,44.73981,-8.52277
UAL82,72.07092,3.31324
QTR702,51.46131,-0.60524
MSR747,30.71200,30.77540
ODP,-34.51556,138.80110
CSN303,52.04352,68.11592
ANA231,69.84476,81.29409
SVA129,52.56294,-1.18187
KAL093,59.62514,-162.19272
RAM219,35.80435,-11.21342
AAL186,60.75760,-169.15584
GIA879,-5.66048,106.81406
GIA881,-4.91387,116.70156
SVA377,33.25406,-7.55325
ESC799,45.46347,-73.76214
UAL16,53.17369,-10.26414
DAL411,50.84047,-2.59307
SIA245,-25.96186,146.87804
TAM8080,20.76812,-68.06899
AFR011,49.34612,-6.02643
QFA117,3.41326,128.77715
BAW188,51.47658,-2.59377
EJM167,51.51228,-0.34763
AFR349,49.55332,-2.29466
CFG011,61.03922,-20.40597
UAL77,53.63722,-12.76407
SDM6488,65.15955,59.63511
GEC8273,50.04033,8.54364
FDX5391,47.73935,-69.20398
AAR222,57.76193,-161.11699
AIR20,25.25070,55.35838
